country,code,continent,region1,region2,population
Tajikistan,TJK,Asia,Central Asia,,9538000
Thailand,THA,Asia,South-eastern Asia,,69800000
Timor-Leste,TLS,Asia,South-eastern Asia,,1318000
Togo,TGO,Africa,Western Africa,Sub-Saharan Africa,8279000
Tokelau,TKL,Oceania,Polynesia,,1000
Tonga,TON,Oceania,Polynesia,,106000
Trinidad and Tobago,TTO,North America,Caribbean,Latin America and the Caribbean,1399000
Tunisia,TUN,Africa,Northern Africa,,11819000
Turkey,TUR,Asia,Western Asia,,84339000
Turkmenistan,TKM,Asia,Central Asia,,6031000
Turks and Caicos Islands,TCA,North America,Caribbean,Latin America and the Caribbean,39000
Tuvalu,TUV,Oceania,Polynesia,,12000
Uganda,UGA,Africa,Eastern Africa,Sub-Saharan Africa,45741000
Ukraine,UKR,Europe,Eastern Europe,,43734000
United Arab Emirates,ARE,Asia,Western Asia,,9890000
United Kingdom,GBR,Europe,Northern Europe,,67886000
United Republic of Tanzania,TZA,Africa,Eastern Africa,Sub-Saharan Africa,59734000
United States of America,USA,North America,Northern America,,331003000
United States Virgin Islands,VIR,North America,Caribbean,Latin America and the Caribbean,104000
Uruguay,URY,South America,South America,Latin America and the Caribbean,3474000
Uzbekistan,UZB,Asia,Central Asia,,33469000
Vanuatu,VUT,Oceania,Melanesia,,307000
Venezuela (Bolivarian Republic of),VEN,South America,South America,Latin America and the Caribbean,28436000
Viet Nam,VNM,Asia,South-eastern Asia,,97339000
Wallis and Futuna Islands,WLF,Oceania,Polynesia,,11000
Western Sahara,ESH,Africa,Northern Africa,,597000
Yemen,YEM,Asia,Western Asia,,29826000
Zambia,ZMB,Africa,Eastern Africa,Sub-Saharan Africa,18384000
Zimbabwe,ZWE,Africa,Eastern Africa,Sub-Saharan Africa,14863000
